"OTU","Sample","Abundance","depth_m","Water_Layer","avg_cells_ml","Kingdom","Phylum","Class","Order","Family","Genus","Species","Abundance_P","AA_Genus"
"Otu00006","LC-13m-E1",0.157484563275583,13,"Chemocline",95333.33333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,15.7484563275583,15013.5283650806
"Otu00006","LC-17m-E1",0.113450845853543,17,"Monimolimnion",434666.6667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,11.3450845853543,49313.3010014551
"Otu00008","Cadagno7m-E2",0.110263157894737,7,"Mixolimnion",157333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,11.0263157894737,17348.0701717632
"Otu00006","LC-19m-E1",0.0894893841024741,19,"Monimolimnion",397000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,8.94893841024741,35527.2854886822
"Otu00008","LC-11m-E1",0.0739257101238165,11,"Mixolimnion",104333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,7.39257101238165,7712.91575378733
"Otu00055","LC-11m-E1",0.06081573197378,11,"Mixolimnion",104333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,6.081573197378,6345.10803390386
"Otu00033","LC-13m-E1",0.0519153527965949,13,"Chemocline",95333.33333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,5.19153527965949,4949.26363310233
"Otu00006","LC-15point5m-E1",0.0461913642232104,15.5,"Chemocline",585000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,4.61913642232104,27021.9480705781
"Otu00042","LC-11m-E1",0.0413935421218742,11,"Mixolimnion",104333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,4.13935421218742,4318.72622666909
"Otu00006","Cadagno15m-E2",0.0413800184823904,15,"Chemocline",905000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,4.13800184823904,37448.9167265633
"Otu00042","LC-13m-E1",0.0276961812840957,13,"Chemocline",95333.33333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,2.76961812840957,2640.3692823248
"Otu00008","LC-9m-E1",0.0248318903001802,9,"Mixolimnion",73000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,2.48318903001802,1812.72799191315
"Otu00051","LC-3m-E1",0.0202501488981537,3,"Mixolimnion",95666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,2.02501488981537,1937.26424465753
"Otu00033","LC-17m-E1",0.0187507393824678,17,"Monimolimnion",434666.6667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,1.87507393824678,8150.32138553768
"Otu00052","Cadagno15m-E2",0.0173529109764863,15,"Chemocline",905000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,1.73529109764863,15704.3844337201
"Otu00051","LC-5m-E1",0.0172816771726043,5,"Mixolimnion",86666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,1.72816771726043,1497.74535501664
"Otu00051","LC-9m-E1",0.0152507361666593,9,"Mixolimnion",73000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,1.52507361666593,1113.30374016613
"Otu00033","LC-15point5m-E1",0.0144885956103859,15.5,"Chemocline",585000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,1.44885956103859,8475.82843207574
"Otu00042","LC-3m-E1",0.0131030375223347,3,"Mixolimnion",95666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,1.31030375223347,1253.5239230137
"Otu00051","LC-11m-E1",0.0123411831350651,11,"Mixolimnion",104333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,1.23411831350651,1287.59677334709
"Otu00042","LC-5m-E1",0.0120405127841915,5,"Mixolimnion",86666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,1.20405127841915,1043.5111080034
"Otu00033","Cadagno15m-E2",0.0110894342334942,15,"Chemocline",905000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,1.10894342334942,10035.9379813122
"Otu00143","LC-5m-E1",0.00842835894893406,5,"Mixolimnion",86666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.842835894893406,730.45777560238
"Otu00008","LC-5m-E1",0.00807422621998725,5,"Mixolimnion",86666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0.807422621998725,699.766272425809
"Otu00143","LC-3m-E1",0.00794123486202104,3,"Mixolimnion",95666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.794123486202104,759.711468493151
"Otu00033","LC-19m-E1",0.00789612212668889,19,"Monimolimnion",397000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.789612212668889,3134.76048429549
"Otu00042","LC-9m-E1",0.007251790972619,9,"Mixolimnion",73000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.7251790972619,529.380741001187
"Otu00008","LC-3m-E1",0.00641916484680034,3,"Mixolimnion",95666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0.641916484680034,614.10010369863
"Otu00051","Cadagno7m-E2",0.00565789473684211,7,"Mixolimnion",157333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.565789473684211,890.175438407895
"Otu00042","Cadagno7m-E2",0.00333333333333333,7,"Mixolimnion",157333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.333333333333333,524.444444333333
"Otu00106","LC-3m-E1",0.00327575938058368,3,"Mixolimnion",95666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Cyanobium_PCC-6307",NA,0.327575938058368,313.380980753425
"Otu00052","LC-15point5m-E1",0.00229522306699182,15.5,"Chemocline",585000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.229522306699182,1342.70549419022
"Otu00008","LC-13m-E1",0.00227804088483904,13,"Chemocline",95333.33333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0.227804088483904,217.173231013728
"Otu00051","LC-13m-E1",0.00227804088483904,13,"Chemocline",95333.33333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.227804088483904,217.173231013728
