OTU,Sample,Abundance,depth_m,Water_Layer,avg_cells_ml,Kingdom,Phylum,Class,Order,Family,Genus,Abundance_P,AA_Genus,Phylum_Genus
Otu00001,Cadagno15m-E2,0.352705617,15,Chemocline,905000,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Chromatium,35.27056166,319198.583,Proteobacteria|Chromatium
Otu00003,Cadagno7m-E2,0.249385965,7,Mixolimnion,157333.3333,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacII,bacII-A,24.93859649,39236.72514,Bacteroidetes|bacII-A
Otu00006,LC-13m-E1,0.241652179,13,Chemocline,95333.33333,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,24.16521791,23037.50774,Cyanobacteria|Chloroplast_ge
Otu00001,LC-15point5m-E1,0.193659446,15.5,Chemocline,585000,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Chromatium,19.36594463,113290.7761,Proteobacteria|Chromatium
Otu00001,LC-17m-E1,0.154264758,17,Monimolimnion,434666.6667,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Chromatium,15.42647581,67053.74818,Proteobacteria|Chromatium
Otu00001,LC-19m-E1,0.153769667,19,Monimolimnion,397000,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Chromatium,15.37696672,61046.55788,Proteobacteria|Chromatium
Otu00006,LC-17m-E1,0.132970543,17,Monimolimnion,434666.6667,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,13.2970543,57797.8627,Cyanobacteria|Chloroplast_ge
Otu00002,LC-3m-E1,0.122295017,3,Mixolimnion,95666.66667,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-B,12.22950169,11699.55661,Actinobacteria|acI-B
Otu00003,LC-9m-E1,0.120203929,9,Mixolimnion,73000,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacII,bacII-A,12.02039292,8774.886828,Bacteroidetes|bacII-A
Otu00006,LC-11m-E1,0.118273044,11,Mixolimnion,104333.3333,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,11.82730436,12339.82088,Cyanobacteria|Chloroplast_ge
Otu00002,LC-5m-E1,0.117359586,5,Mixolimnion,86666.66667,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-B,11.73595864,10171.16415,Actinobacteria|acI-B
Otu00007,LC-5m-E1,0.116155535,5,Mixolimnion,86666.66667,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-A,11.61555351,10066.81304,Actinobacteria|acI-A
Otu00008,Cadagno7m-E2,0.110307018,7,Mixolimnion,157333.3333,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,11.03070175,17354.97076,Cyanobacteria|Oxyphotobacteria_unclassified
Otu00007,LC-3m-E1,0.106412547,3,Mixolimnion,95666.66667,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-A,10.64125472,10180.13368,Actinobacteria|acI-A
Otu00009,LC-11m-E1,0.106174638,11,Mixolimnion,104333.3333,Bacteria,Verrucomicrobia,Verrucomicrobiae,uncultured,uncultured_fa,uncultured_ge,10.61746379,11077.55388,Verrucomicrobia|uncultured_ge
Otu00003,LC-11m-E1,0.103058995,11,Mixolimnion,104333.3333,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacII,bacII-A,10.30589949,10752.48846,Bacteroidetes|bacII-A
Otu00002,Cadagno7m-E2,0.102850877,7,Mixolimnion,157333.3333,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-B,10.28508772,16181.87134,Actinobacteria|acI-B
Otu00007,LC-11m-E1,0.102775755,11,Mixolimnion,104333.3333,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-A,10.27757546,10722.93706,Actinobacteria|acI-A
Otu00006,LC-19m-E1,0.097736445,19,Monimolimnion,397000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,9.773644499,38801.36866,Cyanobacteria|Chloroplast_ge
Otu00002,LC-9m-E1,0.093570079,9,Mixolimnion,73000,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-B,9.357007867,6830.615743,Actinobacteria|acI-B
Otu00013,LC-13m-E1,0.090642048,13,Chemocline,95333.33333,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,gamI,unclassified,9.064204784,8641.20856,Proteobacteria|unclassified
Otu00004,LC-15point5m-E1,0.088652991,15.5,Chemocline,585000,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobiaceae_ge,8.865299096,51861.99971,Bacteroidetes|Lentimicrobiaceae_ge
