"Depth","TCell_cnt_ml","TCell_cnt_SD","Cyn_Cells_mean","Cyn_Cells_sd","C_D0_Alpha_div_Cells","C_D1_Alpha_div_Cells","sd.D1_cells","C_D2_Alpha_div_Cells","sd.D2_cells","Evenness_cells","CV_cells","Sample_name.y","PCoA_Cells_SYBR_Axis1","PCoA_Cells_SYBR_Axis2","VLP_p_ml","VLP_sd_ml","V_Axis.1_Pcoa","V_Axis.2_Pcoa","VLP_Eigen_values","V_alpha_D0","V_alpha_D1","V_sd.D1","V_alpha_D2","V_sd.D2","VMR"
1,104666.666666667,1527.52523165195,23666.66667,577.3502692,17483.6666666667,5844.79480902438,56.0895615846578,3534.38539577119,56.0271731385495,0.256074823745763,198.816871986669,NA,0.208530138171623,-0.029742688023124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,106000,3605.55127546399,25333.33333,577.3502692,17529.6666666667,5571.78453339426,61.1361744343911,3103.06546267901,51.8185514234909,0.251357549525663,215.629680799163,NA,0.19093269639913,0.156375571041182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,95666.6666666667,4041.45188432738,21666.66667,577.3502692,17999.3333333333,6071.8499353169,59.6709333153026,3515.0903212819,52.1293621377741,0.26293673476091,203.046035416158,NA,0.264277932413979,-0.0907486918196024,72734310.2367783,4504964.2882951,0.0174082387890653,0.0189619113114981,0.0171552305805876,18806.6666666667,5701.84500836222,155.137554294133,2259.97468968439,184.787984900354,760.288957178867
4,164000,6244.9979983984,32333.33333,577.3502692,17679,5805.6221913417,62.9803977804096,3279.03221318417,54.8388865592187,0.257515660642758,209.915770285147,NA,0.211369867069299,0.0671373735484498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,86666.6666666667,1527.52523165195,41666.66667,2081.665999,16874.3333333333,5252.53938998142,56.2836183028035,3061.64396595045,51.1752135459368,0.240985242200868,212.453591739704,NA,0.200832177525723,0.0318874035536747,70269433.106576,15018219.112924,0.00632568787162492,0.186593543259005,0.0140705926420874,17971,5499.61244415457,142.752509970846,2257.24658948322,179.540079975819,810.801151229723
6,150000,1000,52333.33333,1154.700538,16379.6666666667,5068.50545526021,75.775596702307,2512.6691124789,62.6289544005458,0.25569064587034,235.08221247117,NA,0.178776852849604,0.36605301986439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,157333.333333333,577.350269189626,42333.33333,1527.525232,16112.6666666667,4868.63807350494,60.2009685897075,2745.47256290053,55.2003659488296,0.236696225912794,220.738519325809,NA,0.263625509600133,0.184776040670991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,74666.6666666667,577.350269189626,30666.66667,577.3502692,18924.6666666667,8177.2365078432,48.9209635397529,5780.12241685347,48.6927708062962,0.320271036116199,150.791529299677,NA,0.0141059902600649,-0.234278640316043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,73000,3000,43666.66667,1154.700538,19217,8767.13805480824,56.555747388261,5885.1158060345,60.3990939078852,0.3428814492955,150.527080596344,NA,0.0154921127976469,-0.16962436213259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,87666.6666666667,1527.52523165195,43333.33333,1154.700538,18942.3333333333,7993.64657460649,52.8827324580329,5368.79568437322,51.3494480306194,0.315901133941179,159.032541756778,NA,0.0213345980104518,-0.213005431534091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
