DOSFile,Description,Duration,Rate,Volume,Dilution ,VLP,VLP/mL,Depth,Filter,Triplicate,Depth_n
20022018218.fcs,Ctrl1 <0.01,1.05,49,51.45,101,2211,4340000,Control,Milliq,A,0
20022018221.fcs,Ctrl2 <0.02,1.05,49,51.45,101,1574,3090000,Control,Milliq,B,0
20022018222.fcs,Ctrl3 <0.02,1.05,49,51.45,101,1956,3840000,Control,Milliq,C,0
20022018211.fcs,3m R1<0.2,1.05,49,51.45,101,38952,76500000,3,Whole_0.22um,A,3
20022018231.fcs,3m R2 <0.2,1.05,49,51.45,101,36356,71400000,3,Whole_0.22um,B,3
20022018223.fcs,3m R3 <0.2,1.07,49,52.43,101,42379,81600000,3,Whole_0.22um,C,3
20022018232.fcs,5m R1 <0.2,1.05,49,51.45,101,30909,60700000,5,mesh_0.22um,A,5
20022018233.fcs,5m R2 <0.2,1.05,49,51.45,101,35738,70200000,5,mesh_0.22um,B,5
20022018212.fcs,5m R3 <0.2,1.05,49,51.45,101,46481,91200000,5,mesh_0.22um,C,5
20022018234.fcs,11m R1 <0.2,1.05,49,51.45,101,75259,148000000,11,mesh_0.22um,A,11
20022018224.fcs,11m R2 <0.2,1.07,49,52.43,101,91372,176000000,11,mesh_0.22um,B,11
20022018213.fcs,11m R3 <0.2,1,49,49,101,97782,202000000,11,mesh_0.22um,C,11
20022018235.fcs,13m R1 <0.2,1.05,49,51.45,101,74079,145000000,13,mesh_0.22um,A,13
20022018214.fcs,13m R2 <0.2,1.05,49,51.45,101,84833,167000000,13,mesh_0.22um,B,13
20022018225.fcs,13m R3 <0.2,1.07,49,52.43,101,80762,156000000,13,mesh_0.22um,C,13
20022018201.fcs,15m r1 mesh,1.05,49,51.45,101,70827,139000000,15mm,mesh_0.22um,A,15
20022018202.fcs,15m r2 mesh,1.07,49,52.43,101,75459,145000000,15mm,mesh_0.22um,B,15
20022018203.fcs,15m r3 mesh,1.07,49,52.43,101,80461,155000000,15mm,mesh_0.22um,C,15
20022018204.fcs,15.5m r1,1.05,49,51.45,101,71427,140000000,15.5,mesh_0.22um,A,15
20022018205.fcs,15.5m r2,1.05,49,51.45,101,82685,162000000,15.5,mesh_0.22um,B,15
20022018206.fcs,15.5m r3,1.07,49,52.43,101,79674,153000000,15.5,mesh_0.22um,C,15
20022018227.fcs,15m_R1_whole,1.05,49,51.45,101,66724,131000000,15mw,Whole_0.22um,A,15
20022018207.fcs,15m_R2_whole,1.05,49,51.45,101,89474,176000000,15mw,Whole_0.22um,B,15
20022018208.fcs,15m_R3_whole,1.05,49,51.45,101,85312,167000000,15mw,Whole_0.22um,C,15
20022018236.fcs,17m R1 <0.2,1.05,49,51.45,101,58093,114000000,17,mesh_0.22um,A,17
20022018215.fcs,17m R2 <0.2,1.05,49,51.45,101,91673,180000000,17,mesh_0.22um,B,17
20022018226.fcs,17m R3 <0.2,1.05,49,51.45,101,70484,138000000,17,mesh_0.22um,C,17
20022018216.fcs,19m R1 <0.2,1.05,49,51.45,101,75315,148000000,19,mesh_0.22um,A,19
20022018217.fcs,19m R2 <0.2,1.05,49,51.45,101,83789,164000000,19,mesh_0.22um,B,19
20022018237.fcs,19m R3 <0.2,1.05,49,51.45,101,66631,131000000,19,mesh_0.22um,C,19
