sample_name	sample_title	bioproject_accession	organism	collection_date	depth	env_broad_scale	env_local_scale	env_medium	geo_loc_name	lat_lon	alkalinity	alkyl_diethers	altitude	aminopept_act	ammonium	atmospheric_data	bac_prod	bac_resp	bacteria_carb_prod	biomass	bishomohopanol	bromide	calcium	carb_nitro_ratio	chem_administration	chloride	chlorophyll	conduc	density	diether_lipids	diss_carb_dioxide	diss_hydrogen	diss_inorg_carb	diss_inorg_nitro	diss_inorg_phosp	diss_org_carb	diss_org_nitro	diss_oxygen	down_par	elev	fluor	glucosidase_act	isolation_source	light_intensity	magnesium	mean_frict_vel	mean_peak_frict_vel	misc_param	n_alkanes	nitrate	nitrite	nitro	omics_observ_id	org_carb	org_matter	org_nitro	organism_count	oxy_stat_samp	part_org_carb	part_org_nitro	perturbation	petroleum_hydrocarb	ph	phaeopigments	phosphate	phosplipid_fatt_acid	photon_flux	potassium	pressure	primary_prod	redox_potential	rel_to_oxygen	salinity	samp_collect_device	samp_mat_process	samp_size	samp_store_dur	samp_store_loc	samp_store_temp	silicate	size_frac	sodium	soluble_react_phosp	source_material_id	sulfate	sulfide	suspend_part_matter	temp	tidal_stage	tot_depth_water_col	tot_diss_nitro	tot_inorg_nitro	tot_nitro	tot_part_carb	tot_phosp	water_current	description
LC-3m-E1	Meromictic Lake Water 3m (whole water)		freshwater metagenome	28-08-2017	3m	Mixolimnion	Oxic zone	Fresh-water	Lake Cadagno, Switzerland	46.55087 N, 8.71152 E			1921m																																																																																				
LC-5m-E1	Meromictic Lake Water 5m (mesh water)		freshwater metagenome	28-08-2017	5m	Mixolimnion	Oxic zone	Fresh-water	Lake Cadagno, Switzerland	46.55087 N, 8.71152 E			1921m																																																																																				
LC-7m-E1	Meromictic Lake Water 7m (mesh water)		freshwater metagenome	28-08-2017	7m	Mixolimnion	Oxic zone	Fresh-water	Lake Cadagno, Switzerland	46.55087 N, 8.71152 E			1921m																																																																																				
LC-9m-E1	Meromictic Lake Water 9m (mesh water)		freshwater metagenome	28-08-2017	9m	Mixolimnion	Oxic zone	Fresh-water	Lake Cadagno, Switzerland	46.55087 N, 8.71152 E			1921m																																																																																				
LC-11m-E1	Meromictic Lake Water 11m (mesh water)		freshwater metagenome	29-08-2017	11m	Mixolimnion	Oxic zone	Fresh-water	Lake Cadagno, Switzerland	46.55087 N, 8.71152 E			1921m																																																																																				
LC-13m-E1	Meromictic Lake Water  13m (mesh water)		freshwater metagenome	29-08-2017	13m	Chemocline	Oxic-anoxic boundry	Chemocline	Lake Cadagno, Switzerland	46.55087 N, 8.71152 E			1921m																																																																																				
LC-15mw-E1	Meromictic Lake Water 15m (whole water)		freshwater metagenome	29-08-2017	15m (whole water)	Chemocline	Oxic-anoxic boundry	Chemocline	Lake Cadagno, Switzerland	46.55087 N, 8.71152 E			1921m																																																																																				
LC-15mm-E1	Meromictic Lake Water  15m (mesh water)		freshwater metagenome	29-08-2017	15m (mesh)	Chemocline	Oxic-anoxic boundry	Chemocline	Lake Cadagno, Switzerland	46.55087 N, 8.71152 E			1921m																																																																																				
LC-15point5m-E1	Meromictic Lake Water 15.5m (mesh water)		freshwater metagenome	29-08-2017	15.5m	Chemocline	Oxic-anoxic boundry	Chemocline	Lake Cadagno, Switzerland	46.55087 N, 8.71152 E			1921m																																																																																				
LC-17m-E1	Meromictic Lake Water 17m (mesh water)		freshwater metagenome	29-08-2017	17m	Monimolimnion	Anoxic Zone	Hydrogen Sulfide | Ammonia	Lake Cadagno, Switzerland	46.55087 N, 8.71152 E			1921m																																																																																				
